SUBURB,Oct - Dec 20,Jan - Mar 2021,Apr - Jun 2021,Jul-Aug 21,Oct - Dec 21,Mean21
MONTMORENCY,911000,930000,1178500,1161000,1260000,1132375
MONTROSE,741000,787800,825500,927000,890000,857575
MOONEE PONDS,1332500,1590000,1512000,1490000,1570000,1540500
MOORABBIN,1160000,1274500,1318000,1377500,1455000,1356250
MOOROOLBARK,730000,771100,823000,852500,891000,834400
MOOROOPNA,310000,265000,317500,361500,370000,328500
MORDIALLOC,1282500,1320000,1500000,1291800,1502500,1403575
MORNINGTON,955000,1005000,1112500,1045000,1145000,1076875
MORTLAKE,312000,277000,290500,350000,365000,320625
MORWELL,225000,235000,266500,275000,317500,273500
MOUNT BEAUTY,355500,411000,435000,535000,565000,486500
MOUNT CLEAR,425000,505000,470000,550000,566000,522750
MOUNT DANDENONG,927500,842000,785000,930000,915000,868000
MOUNT DUNEED,610000,625000,705000,769000,805000,726000
MOUNT EGERTON,344000,330000,577800,580000,450000,484450
MOUNT ELIZA,1450000,1631500,1650000,1700000,1740000,1680375
MOUNT EVELYN,708000,807500,778000,850000,866300,825450
MOUNT HELEN,514000,600000,593000,655000,617500,616375
MOUNT MACEDON,1050000,2200000,1575000,960000,1701000,1609000
MOUNT MARTHA,1545000,1675000,1935000,1985000,2100000,1923750
MOUNT PLEASANT,420000,420000,460000,511300,525000,479075
MOUNT WAVERLEY,1261500,1430000,1525000,1555500,1552500,1515750
MULGRAVE,903000,955000,990000,1040000,1065000,1012500
MURRUMBEENA,1375000,1615000,1635000,1676500,1700000,1656625
MURTOA,129000,128000,133000,222300,159500,160700
MYRTLEFORD,385000,430000,501000,580000,606000,529250
NAGAMBIE,440500,492500,540000,465000,650000,536875
NARRE WARREN,623500,642000,692500,720000,740000,698625
NARRE WARREN NORTH,1200000,1201000,1440000,1402500,1450000,1373375
NARRE WARREN SOUTH,685000,715000,740000,760000,815500,757625
NATHALIA,262000,292500,280000,262500,242500,269375
NEERIM SOUTH,455000,505000,647500,470000,570000,548125
NELSON,190000,270000,355000,399000,402500,356625
