            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 22/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earners (persons),,,,,Median age of earners (years),,,,,Sum ($),,,,,Median ($),,,,,Mean ($),,,,,,,,,,,,,
South Australia,," 912,863 "," 916,751 "," 934,737 "," 957,802 ","976,961", 44 , 44 , 44 , 44 , 44 ," 50,742,516,268 "," 51,515,686,654 "," 53,426,479,007 "," 55,843,191,237 ","58,495,262,668"," 45,445 "," 46,110 "," 46,937 "," 48,354 ","49,888"," 55,586 "," 56,194 "," 57,157 "," 58,303 ","59,875",,,,,,,,,
401011001,Adelaide," 8,436 "," 9,669 "," 8,360 "," 8,871 ","9,282", 36 , 38 , 37 , 37 , 37 ," 548,837,755 "," 647,268,990 "," 562,750,835 "," 588,154,282 ","606,994,643"," 46,157 "," 45,398 "," 46,253 "," 46,093 ","45,391"," 65,059 "," 66,943 "," 67,315 "," 66,301 ","65,395",,,,,,,,,
401011002,North Adelaide," 4,175 "," 4,360 "," 4,197 "," 4,238 ","4,251", 46 , 47 , 46 , 46 , 46 ," 395,055,204 "," 411,106,249 "," 408,678,412 "," 421,486,375 ","453,369,795"," 57,194 "," 56,182 "," 58,134 "," 60,168 ","62,709"," 94,624 "," 94,290 "," 97,374 "," 99,454 ","106,650",,,,,,,,,
401021003,Adelaide Hills," 4,267 "," 4,208 "," 4,212 "," 4,223 ","4,252", 48 , 48 , 49 , 49 , 49 ," 246,128,198 "," 245,014,073 "," 251,348,159 "," 261,241,540 ","264,179,635"," 45,698 "," 44,614 "," 48,572 "," 49,842 ","50,617"," 57,682 "," 58,226 "," 59,674 "," 61,862 ","62,131",,,,,,,,,
401021004,Aldgate - Stirling," 11,493 "," 11,336 "," 11,320 "," 11,528 ","11,518", 48 , 48 , 48 , 48 , 48 ," 838,226,679 "," 845,077,367 "," 867,896,436 "," 900,758,941 ","923,855,852"," 52,430 "," 53,543 "," 55,458 "," 55,974 ","58,003"," 72,934 "," 74,548 "," 76,669 "," 78,137 ","80,210",,,,,,,,,
401021005,Hahndorf - Echunga," 2,749 "," 2,694 "," 2,812 "," 2,839 ","2,865", 49 , 49 , 49 , 49 , 49 ," 168,655,847 "," 166,636,434 "," 173,656,129 "," 184,188,295 ","192,922,360"," 45,033 "," 45,540 "," 46,643 "," 48,574 ","49,999"," 61,352 "," 61,855 "," 61,755 "," 64,878 ","67,338",,,,,,,,,
401021006,Lobethal - Woodside," 5,372 "," 5,232 "," 5,400 "," 5,594 ","5,653", 47 , 47 , 47 , 47 , 47 ," 308,579,404 "," 294,367,221 "," 315,532,161 "," 335,435,246 ","354,422,352"," 45,850 "," 46,125 "," 47,170 "," 48,057 ","50,174"," 57,442 "," 56,263 "," 58,432 "," 59,963 ","62,696",,,,,,,,,
401021007,Mount Barker," 9,434 "," 9,673 "," 10,173 "," 10,744 ","11,357", 43 , 43 , 43 , 43 , 43 ," 510,380,700 "," 522,690,678 "," 564,159,299 "," 617,492,332 ","680,375,623"," 46,243 "," 46,116 "," 47,531 "," 49,265 ","51,512"," 54,100 "," 54,036 "," 55,457 "," 57,473 ","59,908",,,,,,,,,
401021008,Mount Barker Region," 3,672 "," 3,678 "," 3,853 "," 3,931 ","4,109", 47 , 46 , 47 , 47 , 47 ," 191,045,577 "," 193,848,667 "," 206,002,845 "," 215,354,610 ","235,594,415"," 42,879 "," 44,681 "," 46,261 "," 47,234 ","48,910"," 52,028 "," 52,705 "," 53,466 "," 54,784 ","57,336",,,,,,,,,
401021009,Nairne," 2,759 "," 2,793 "," 2,958 "," 2,986 ","3,019", 41 , 41 , 42 , 42 , 42 ," 144,881,626 "," 146,815,528 "," 155,394,488 "," 162,421,805 ","168,763,973"," 46,720 "," 46,760 "," 46,671 "," 48,786 ","50,461"," 52,512 "," 52,566 "," 52,534 "," 54,394 ","55,901",,,,,,,,,
401021010,Uraidla - Summertown," 3,349 "," 3,293 "," 3,372 "," 3,454 ","3,479", 49 , 48 , 48 , 48 , 48 ," 225,165,418 "," 221,032,410 "," 235,537,272 "," 237,682,759 ","250,359,225"," 50,636 "," 51,401 "," 53,605 "," 53,632 ","55,332"," 67,234 "," 67,122 "," 69,851 "," 68,814 ","71,963",,,,,,,,,
401031011,Burnside - Wattle Park," 12,039 "," 11,925 "," 12,101 "," 12,325 ","12,268", 49 , 49 , 49 , 49 , 48 ," 949,766,318 "," 960,683,564 "," 968,585,638 "," 1,028,363,279 ","1,054,101,751"," 53,201 "," 54,252 "," 54,457 "," 56,610 ","58,148"," 78,891 "," 80,560 "," 80,042 "," 83,437 ","85,923",,,,,,,,,
401031012,Glenside - Beaumont," 6,355 "," 6,508 "," 6,465 "," 6,522 ","6,564", 50 , 50 , 50 , 49 , 49 ," 560,517,821 "," 571,617,706 "," 570,495,893 "," 571,951,337 ","608,327,582"," 54,831 "," 55,029 "," 55,437 "," 57,320 ","57,976"," 88,201 "," 87,833 "," 88,244 "," 87,696 ","92,676",,,,,,,,,
401031013,Toorak Gardens," 10,369 "," 10,853 "," 10,818 "," 10,914 ","10,865", 50 , 50 , 50 , 50 , 50 ," 911,914,468 "," 943,593,409 "," 948,001,391 "," 979,384,940 ","1,035,794,988"," 55,311 "," 55,887 "," 56,333 "," 56,658 ","59,390"," 87,946 "," 86,943 "," 87,632 "," 89,737 ","95,333",,,,,,,,,
401041014,Athelstone," 5,895 "," 5,932 "," 5,967 "," 6,034 ","6,108", 46 , 46 , 46 , 47 , 46 ," 328,385,267 "," 337,300,116 "," 344,409,375 "," 357,152,059 ","369,542,767"," 46,953 "," 47,591 "," 48,935 "," 49,605 ","52,131"," 55,706 "," 56,861 "," 57,719 "," 59,190 ","60,501",,,,,,,,,
401041015,Paradise - Newton," 10,544 "," 10,630 "," 10,686 "," 11,185 ","11,529", 43 , 43 , 43 , 43 , 42 ," 523,460,156 "," 531,811,494 "," 545,627,633 "," 578,958,397 ","618,105,575"," 43,746 "," 44,045 "," 44,636 "," 45,019 ","46,989"," 49,645 "," 50,029 "," 51,060 "," 51,762 ","53,613",,,,,,,,,
401041016,Rostrevor - Magill," 12,147 "," 12,299 "," 12,534 "," 12,934 ","13,328", 44 , 44 , 44 , 44 , 44 ," 674,872,094 "," 691,495,894 "," 714,998,343 "," 751,564,597 ","797,548,508"," 45,598 "," 46,017 "," 46,972 "," 48,174 ","49,834"," 55,559 "," 56,224 "," 57,045 "," 58,108 ","59,840",,,,,,,,,
401051017,Norwood (SA)," 6,348 "," 6,696 "," 6,551 "," 6,715 ","6,923", 43 , 46 , 45 , 44 , 44 ," 458,163,743 "," 488,499,367 "," 486,884,825 "," 498,240,180 ","525,920,872"," 52,288 "," 52,148 "," 52,940 "," 54,096 ","56,372"," 72,175 "," 72,954 "," 74,322 "," 74,198 ","75,967",,,,,,,,,
401051018,Payneham - Felixstow," 6,792 "," 6,932 "," 7,045 "," 7,270 ","7,415", 42 , 42 , 43 , 43 , 42 ," 381,630,037 "," 388,234,755 "," 400,992,291 "," 425,105,559 ","446,743,495"," 46,346 "," 46,229 "," 46,543 "," 47,620 ","49,595"," 56,188 "," 56,006 "," 56,919 "," 58,474 ","60,249",,,,,,,,,
401051019,St Peters - Marden," 8,232 "," 8,349 "," 8,340 "," 8,494 ","8,481", 44 , 45 , 45 , 45 , 45 ," 633,134,410 "," 659,396,254 "," 678,725,290 "," 700,421,373 ","724,244,653"," 52,760 "," 53,619 "," 54,664 "," 56,283 ","57,921"," 76,911 "," 78,979 "," 81,382 "," 82,461 ","85,396",,,,,,,,,
401061020,Nailsworth - Broadview," 3,865 "," 3,798 "," 3,896 "," 3,931 ","3,973", 42 , 42 , 42 , 43 , 42 ," 250,735,715 "," 250,872,399 "," 266,531,753 "," 272,537,445 ","284,243,108"," 52,880 "," 53,776 "," 55,956 "," 57,096 ","58,586"," 64,873 "," 66,054 "," 68,412 "," 69,330 ","71,544",,,,,,,,,
401061021,Prospect," 8,605 "," 8,635 "," 8,863 "," 9,264 ","9,533", 42 , 42 , 42 , 41 , 41 ," 550,511,887 "," 567,424,070 "," 592,754,030 "," 637,581,717 ","660,659,054"," 51,253 "," 51,921 "," 53,440 "," 54,693 ","55,892"," 63,976 "," 65,712 "," 66,880 "," 68,824 ","69,302",,,,,,,,,
401061022,Walkerville," 4,689 "," 4,693 "," 4,865 "," 4,997 ","5,022", 49 , 49 , 49 , 48 , 48 ," 474,931,198 "," 473,327,427 "," 506,561,871 "," 523,593,177 ","554,581,501"," 58,744 "," 60,198 "," 59,138 "," 60,803 ","62,884"," 101,286 "," 100,858 "," 104,124 "," 104,782 ","110,430",,,,,,,,,
401071023,Goodwood - Millswood," 11,107 "," 11,055 "," 11,322 "," 11,474 ","11,584", 44 , 45 , 44 , 44 , 44 ," 873,557,241 "," 876,709,526 "," 924,420,920 "," 953,420,584 ","990,803,197"," 54,561 "," 55,712 "," 56,985 "," 58,233 ","60,001"," 78,649 "," 79,304 "," 81,648 "," 83,094 ","85,532",,,,,,,,,
401071024,Unley - Parkside," 12,556 "," 12,883 "," 13,041 "," 13,219 ","13,347", 46 , 47 , 46 , 47 , 47 ," 999,397,131 "," 1,038,705,826 "," 1,056,822,618 "," 1,088,560,737 ","1,129,448,262"," 54,891 "," 55,209 "," 56,392 "," 57,612 ","59,965"," 79,595 "," 80,626 "," 81,038 "," 82,348 ","84,622",,,,,,,,,
402011025,Gawler - North," 5,303 "," 5,297 "," 5,432 "," 5,536 ","5,550", 44 , 44 , 44 , 44 , 44 ," 294,355,818 "," 291,379,897 "," 313,046,048 "," 320,952,262 ","328,098,211"," 49,333 "," 49,246 "," 50,887 "," 51,773 ","53,011"," 55,507 "," 55,008 "," 57,630 "," 57,975 ","59,117",,,,,,,,,
402011026,Gawler - South," 9,955 "," 10,324 "," 10,661 "," 10,934 ","11,310", 44 , 44 , 44 , 44 , 44 ," 510,460,645 "," 531,105,970 "," 561,024,463 "," 599,121,547 ","631,605,102"," 44,999 "," 45,523 "," 46,731 "," 48,795 ","50,297"," 51,277 "," 51,444 "," 52,624 "," 54,794 ","55,845",,,,,,,,,
402011027,Lewiston - Two Wells," 3,136 "," 3,112 "," 3,211 "," 3,292 ","3,362", 44 , 44 , 44 , 45 , 45 ," 164,979,077 "," 163,846,782 "," 175,794,984 "," 183,531,256 ","191,272,424"," 47,177 "," 47,473 "," 48,766 "," 49,196 ","51,602"," 52,608 "," 52,650 "," 54,748 "," 55,751 ","56,892",,,,,,,,,
402021028,Craigmore - Blakeview," 9,429 "," 9,612 "," 9,839 "," 10,191 ","10,510", 40 , 40 , 40 , 39 , 39 ," 475,065,537 "," 487,710,556 "," 509,297,607 "," 546,548,278 ","572,203,665"," 47,538 "," 47,943 "," 49,024 "," 50,405 ","51,453"," 50,383 "," 50,740 "," 51,763 "," 53,630 ","54,444",,,,,,,,,
402021029,Davoren Park," 6,713 "," 6,695 "," 6,910 "," 7,179 ","7,448", 35 , 35 , 35 , 35 , 36 ," 291,609,584 "," 291,654,061 "," 306,995,034 "," 330,264,468 ","347,145,242"," 42,052 "," 41,944 "," 42,540 "," 44,212 ","45,541"," 43,440 "," 43,563 "," 44,428 "," 46,004 ","46,609",,,,,,,,,
402021030,Elizabeth," 3,087 "," 3,069 "," 3,082 "," 3,244 ","3,377", 41 , 41 , 41 , 40 , 40 ," 120,198,372 "," 121,403,051 "," 122,377,788 "," 128,632,644 ","139,270,444"," 37,619 "," 38,026 "," 38,269 "," 37,979 ","39,131"," 38,937 "," 39,558 "," 39,707 "," 39,652 ","41,241",,,,,,,,,
402021031,Elizabeth East," 5,433 "," 5,555 "," 5,729 "," 5,927 ","6,099", 42 , 42 , 41 , 41 , 40 ," 249,848,875 "," 257,422,789 "," 268,301,374 "," 288,250,567 ","301,260,139"," 43,268 "," 43,512 "," 43,900 "," 45,499 ","46,880"," 45,987 "," 46,341 "," 46,832 "," 48,633 ","49,395",,,,,,,,,
402021032,Munno Para West - Angle Vale," 5,803 "," 6,133 "," 6,611 "," 6,939 ","7,478", 35 , 35 , 35 , 35 , 35 ," 283,190,534 "," 303,408,739 "," 334,082,611 "," 363,412,353 ","399,621,590"," 44,961 "," 46,082 "," 47,158 "," 49,512 ","50,536"," 48,801 "," 49,472 "," 50,534 "," 52,372 ","53,440",,,,,,,,,
402021033,One Tree Hill," 1,601 "," 1,593 "," 1,621 "," 1,631 ","1,639", 49 , 50 , 50 , 50 , 50 ," 96,315,768 "," 95,186,933 "," 98,829,822 "," 108,635,854 ","108,385,882"," 48,163 "," 48,195 "," 47,556 "," 50,236 ","52,311"," 60,160 "," 59,753 "," 60,968 "," 66,607 ","66,129",,,,,,,,,
402021034,Smithfield - Elizabeth North," 4,272 "," 4,239 "," 4,315 "," 4,457 ","4,532", 39 , 39 , 39 , 39 , 38 ," 170,333,142 "," 169,676,049 "," 175,857,494 "," 188,618,483 ","197,795,463"," 39,027 "," 39,249 "," 40,215 "," 41,978 ","43,034"," 39,872 "," 40,027 "," 40,755 "," 42,320 ","43,644",,,,,,,,,
402021035,Virginia - Waterloo Corner," 1,850 "," 1,843 "," 2,043 "," 2,197 ","2,319", 45 , 43 , 43 , 42 , 42 ," 82,411,360 "," 85,192,730 "," 101,047,569 "," 112,524,766 ","122,612,940"," 37,603 "," 38,785 "," 41,646 "," 45,743 ","47,219"," 44,547 "," 46,225 "," 49,460 "," 51,217 ","52,873",,,,,,,,,
402031036,Enfield - Blair Athol," 10,792 "," 11,073 "," 11,486 "," 12,164 ","12,795", 37 , 37 , 37 , 37 , 36 ," 493,137,195 "," 521,294,601 "," 541,738,224 "," 586,287,555 ","630,067,555"," 41,235 "," 42,351 "," 42,418 "," 42,966 ","44,443"," 45,695 "," 47,078 "," 47,165 "," 48,199 ","49,243",,,,,,,,,
402031037,Northgate - Oakden - Gilles Plains," 12,011 "," 12,410 "," 13,287 "," 13,885 ","14,806", 40 , 40 , 39 , 39 , 39 ," 631,495,071 "," 649,437,416 "," 715,690,208 "," 766,556,123 ","835,607,607"," 47,198 "," 47,053 "," 47,849 "," 49,924 ","51,014"," 52,576 "," 52,332 "," 53,864 "," 55,207 ","56,437",,,,,,,,,
402031038,Windsor Gardens," 10,907 "," 11,056 "," 11,406 "," 11,955 ","12,395", 38 , 38 , 38 , 38 , 38 ," 557,090,949 "," 575,317,277 "," 599,263,780 "," 645,076,778 ","685,688,698"," 45,604 "," 46,393 "," 46,648 "," 48,377 ","49,253"," 51,076 "," 52,037 "," 52,539 "," 53,959 ","55,320",,,,,,,,,
402041039,Dry Creek - North, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np ,np, np , np , np , np , np ,,,,,,,,,
402041040,Ingle Farm," 7,354 "," 7,320 "," 7,497 "," 7,621 ","7,784", 42 , 42 , 42 , 42 , 41 ," 347,779,260 "," 350,921,660 "," 362,202,610 "," 381,861,502 ","398,324,675"," 44,116 "," 44,612 "," 45,141 "," 46,874 ","48,065"," 47,291 "," 47,940 "," 48,313 "," 50,106 ","51,172",,,,,,,,,
402041041,Para Hills," 7,942 "," 7,926 "," 8,011 "," 8,109 ","8,275", 42 , 42 , 42 , 42 , 42 ," 385,560,132 "," 389,106,999 "," 403,446,447 "," 415,554,997 ","436,707,582"," 44,631 "," 45,000 "," 45,883 "," 46,891 ","48,569"," 48,547 "," 49,092 "," 50,362 "," 51,246 ","52,774",,,,,,,,,
402041042,Parafield, np , np , 12 , 12 , 20 , np , np , 33 , 30 , 31 , np , np ," 326,544 "," 582,906 ","815,625", np , np ," 19,673 "," 41,612 ","36,828", np , np ," 27,212 "," 48,576 ","40,781",,,,,,,,,
402041043,Parafield Gardens," 7,946 "," 7,939 "," 8,221 "," 8,542 ","8,836", 40 , 40 , 39 , 39 , 39 ," 355,320,807 "," 361,670,290 "," 378,048,948 "," 400,676,728 ","427,003,704"," 42,420 "," 43,569 "," 43,297 "," 44,518 ","45,648"," 44,717 "," 45,556 "," 45,986 "," 46,907 ","48,325",,,,,,,,,
402041044,Paralowie," 8,243 "," 8,351 "," 8,564 "," 8,879 ","9,149", 40 , 40 , 39 , 39 , 39 ," 383,901,842 "," 390,444,829 "," 404,515,532 "," 434,463,690 ","457,098,475"," 44,265 "," 45,121 "," 46,006 "," 46,727 ","48,366"," 46,573 "," 46,754 "," 47,234 "," 48,932 ","49,962",,,,,,,,,
402041046,Salisbury," 7,294 "," 7,468 "," 7,617 "," 7,912 ","8,010", 41 , 41 , 40 , 40 , 40 ," 310,130,202 "," 321,518,044 "," 335,394,792 "," 355,153,087 ","365,054,299"," 40,297 "," 41,094 "," 42,203 "," 43,302 ","43,921"," 42,519 "," 43,053 "," 44,032 "," 44,888 ","45,575",,,,,,,,,
402041047,Salisbury East," 9,284 "," 9,190 "," 8,734 "," 9,445 ","9,648", 43 , 44 , 43 , 43 , 43 ," 456,429,176 "," 455,331,980 "," 430,549,486 "," 494,456,763 ","512,572,342"," 44,975 "," 45,603 "," 45,655 "," 47,637 ","49,432"," 49,163 "," 49,546 "," 49,296 "," 52,351 ","53,127",,,,,,,,,
402041048,Salisbury North," 7,577 "," 7,546 "," 7,921 "," 8,211 ","8,439", 37 , 37 , 37 , 37 , 37 ," 345,823,302 "," 347,121,032 "," 367,608,353 "," 396,460,558 ","418,728,334"," 44,311 "," 45,060 "," 45,213 "," 47,160 ","48,805"," 45,641 "," 46,001 "," 46,409 "," 48,284 ","49,618",,,,,,,,,
402041171,Mawson Lakes - Globe Derby Park," 7,605 "," 7,700 "," 8,096 "," 8,431 ","8,453", 36 , 37 , 37 , 37 , 38 ," 445,139,633 "," 449,699,249 "," 475,040,172 "," 506,389,677 ","520,353,723"," 51,526 "," 51,468 "," 51,345 "," 53,344 ","54,853"," 58,532 "," 58,402 "," 58,676 "," 60,063 ","61,558",,,,,,,,,
402041172,Pooraka - Cavan," 3,860 "," 3,839 "," 3,924 "," 3,978 ","4,103", 40 , 40 , 40 , 40 , 40 ," 177,343,892 "," 180,365,285 "," 187,821,106 "," 195,808,764 ","210,248,446"," 42,270 "," 43,557 "," 44,109 "," 44,985 ","45,801"," 45,944 "," 46,982 "," 47,865 "," 49,223 ","51,243",,,,,,,,,
402051049,Golden Grove," 6,131 "," 6,084 "," 6,141 "," 6,206 ","6,299", 45 , 46 , 45 , 45 , 45 ," 366,096,371 "," 369,431,664 "," 374,085,572 "," 388,473,693 ","403,049,728"," 51,119 "," 52,078 "," 52,591 "," 53,782 ","54,941"," 59,712 "," 60,722 "," 60,916 "," 62,596 ","63,986",,,,,,,,,
402051050,Greenwith," 5,335 "," 5,285 "," 5,911 "," 5,471 ","5,473", 43 , 44 , 44 , 44 , 44 ," 308,670,217 "," 309,049,042 "," 359,859,962 "," 336,000,241 ","340,602,484"," 52,201 "," 52,521 "," 53,921 "," 55,042 ","56,648"," 57,858 "," 58,477 "," 60,880 "," 61,415 ","62,233",,,,,,,,,
402051051,Highbury - Dernancourt," 6,523 "," 6,513 "," 6,616 "," 6,758 ","6,796", 46 , 46 , 46 , 46 , 46 ," 365,356,611 "," 377,884,168 "," 383,892,099 "," 401,265,526 ","413,016,873"," 48,201 "," 49,733 "," 49,490 "," 50,913 ","52,026"," 56,011 "," 58,020 "," 58,025 "," 59,376 ","60,774",,,,,,,,,
402051052,Hope Valley - Modbury," 8,477 "," 8,443 "," 8,586 "," 8,854 ","9,216", 42 , 43 , 42 , 41 , 41 ," 395,663,762 "," 398,726,491 "," 410,466,437 "," 436,957,568 ","462,745,243"," 43,519 "," 43,498 "," 44,106 "," 45,382 ","47,007"," 46,675 "," 47,226 "," 47,806 "," 49,351 ","50,211",,,,,,,,,
402051053,Modbury Heights," 11,437 "," 11,350 "," 11,361 "," 11,473 ","11,566", 44 , 44 , 45 , 45 , 44 ," 609,586,971 "," 612,452,394 "," 616,222,580 "," 638,097,477 ","657,281,206"," 48,021 "," 48,484 "," 49,092 "," 50,947 ","52,635"," 53,300 "," 53,961 "," 54,240 "," 55,617 ","56,829",,,,,,,,,
402051054,Redwood Park," 9,571 "," 9,512 "," 9,675 "," 9,790 ","9,832", 44 , 44 , 44 , 44 , 44 ," 509,209,358 "," 511,335,958 "," 530,221,321 "," 553,705,802 ","568,402,292"," 47,946 "," 48,568 "," 50,264 "," 51,216 ","52,610"," 53,203 "," 53,757 "," 54,803 "," 56,558 ","57,811",,,,,,,,,
402051055,St Agnes - Ridgehaven," 7,238 "," 7,203 "," 7,339 "," 7,417 ","7,590", 45 , 45 , 45 , 45 , 44 ," 375,465,057 "," 377,757,652 "," 387,507,587 "," 403,340,890 ","425,381,978"," 46,174 "," 46,567 "," 47,475 "," 49,642 ","51,029"," 51,874 "," 52,444 "," 52,801 "," 54,381 ","56,045",,,,,,,,,
403011056,Brighton (SA)," 8,650 "," 8,791 "," 8,869 "," 9,110 ","9,184", 49 , 49 , 49 , 49 , 49 ," 563,216,079 "," 575,840,488 "," 588,209,016 "," 619,462,130 ","644,837,154"," 50,148 "," 50,184 "," 50,662 "," 52,407 ","54,729"," 65,112 "," 65,503 "," 66,322 "," 67,998 ","70,213",,,,,,,,,
403011057,Glenelg (SA)," 13,146 "," 13,239 "," 13,154 "," 13,494 ","13,631", 47 , 47 , 48 , 48 , 48 ," 895,253,054 "," 915,929,938 "," 933,934,448 "," 984,265,566 ","1,011,042,071"," 50,809 "," 51,868 "," 52,263 "," 54,150 ","55,817"," 68,101 "," 69,184 "," 71,000 "," 72,941 ","74,172",,,,,,,,,
403021058,Edwardstown," 7,397 "," 7,516 "," 7,661 "," 8,044 ","8,367", 40 , 40 , 39 , 39 , 38 ," 380,851,724 "," 386,915,919 "," 402,801,982 "," 437,945,873 ","461,261,727"," 45,986 "," 46,532 "," 46,587 "," 48,140 ","49,929"," 51,487 "," 51,479 "," 52,578 "," 54,444 ","55,129",,,,,,,,,
403021059,Hallett Cove," 7,918 "," 7,807 "," 7,888 "," 7,948 ","7,968", 46 , 46 , 46 , 46 , 46 ," 444,289,391 "," 447,809,743 "," 439,131,674 "," 463,270,666 ","478,699,527"," 48,672 "," 50,310 "," 50,260 "," 51,743 ","53,476"," 56,111 "," 57,360 "," 55,671 "," 58,288 ","60,078",,,,,,,,,
403021060,Marino - Seaview Downs," 5,898 "," 5,791 "," 5,924 "," 5,952 ","5,989", 46 , 46 , 46 , 46 , 46 ," 329,913,513 "," 329,044,287 "," 342,403,255 "," 352,159,449 ","372,191,250"," 47,290 "," 48,352 "," 48,591 "," 50,315 ","51,976"," 55,937 "," 56,820 "," 57,799 "," 59,167 ","62,146",,,,,,,,,
403021061,Mitchell Park," 7,511 "," 7,684 "," 7,937 "," 8,179 ","8,504", 41 , 40 , 40 , 39 , 39 ," 360,132,388 "," 371,840,313 "," 387,865,107 "," 412,613,497 ","450,660,443"," 42,758 "," 43,339 "," 43,499 "," 45,344 ","47,053"," 47,947 "," 48,392 "," 48,868 "," 50,448 ","52,994",,,,,,,,,
403021062,Morphettville," 7,842 "," 8,120 "," 8,460 "," 8,719 ","9,069", 42 , 42 , 42 , 41 , 41 ," 437,496,265 "," 461,114,680 "," 484,504,923 "," 512,953,140 ","552,793,013"," 47,959 "," 48,835 "," 49,614 "," 51,400 ","52,690"," 55,789 "," 56,788 "," 57,270 "," 58,832 ","60,954",,,,,,,,,
403021063,Sheidow Park - Trott Park," 6,155 "," 6,231 "," 6,245 "," 6,320 ","6,304", 41 , 41 , 42 , 42 , 42 ," 326,016,720 "," 338,885,733 "," 342,859,252 "," 359,859,356 ","367,007,412"," 48,966 "," 50,589 "," 51,481 "," 52,670 ","54,804"," 52,968 "," 54,387 "," 54,901 "," 56,940 ","58,218",,,,,,,,,
403021064,Warradale," 7,806 "," 7,924 "," 8,071 "," 8,403 ","8,721", 42 , 41 , 41 , 41 , 40 ," 402,804,363 "," 412,500,851 "," 426,791,318 "," 456,784,457 ","491,239,071"," 45,881 "," 45,896 "," 46,352 "," 48,416 ","50,481"," 51,602 "," 52,057 "," 52,880 "," 54,360 ","56,328",,,,,,,,,
403031065,Belair," 3,013 "," 3,005 "," 3,082 "," 3,084 ","3,066", 50 , 50 , 50 , 49 , 49 ," 202,633,733 "," 209,611,258 "," 210,082,659 "," 217,709,491 ","226,313,737"," 51,690 "," 51,634 "," 52,421 "," 54,214 ","58,363"," 67,253 "," 69,754 "," 68,164 "," 70,593 ","73,814",,,,,,,,,
403031066,Bellevue Heights," 4,172 "," 4,112 "," 4,143 "," 4,230 ","4,405", 47 , 47 , 47 , 46 , 46 ," 231,600,707 "," 229,266,281 "," 233,670,962 "," 246,931,173 ","254,407,094"," 43,728 "," 44,270 "," 44,909 "," 46,585 ","45,896"," 55,513 "," 55,755 "," 56,401 "," 58,376 ","57,754",,,,,,,,,
403031067,Blackwood," 7,567 "," 7,637 "," 7,742 "," 7,913 ","8,079", 47 , 47 , 47 , 47 , 47 ," 467,816,301 "," 479,222,842 "," 499,010,502 "," 530,760,557 ","554,827,759"," 50,816 "," 52,528 "," 54,191 "," 56,696 ","57,667"," 61,823 "," 62,750 "," 64,455 "," 67,075 ","68,675",,,,,,,,,
403031068,Colonel Light Gardens," 9,307 "," 9,386 "," 9,495 "," 9,631 ","9,674", 43 , 43 , 44 , 44 , 44 ," 583,619,844 "," 602,786,418 "," 620,111,413 "," 643,955,185 ","662,667,442"," 51,818 "," 52,799 "," 53,842 "," 55,461 ","57,108"," 62,708 "," 64,222 "," 65,309 "," 66,863 ","68,500",,,,,,,,,
403031069,Mitcham (SA)," 10,453 "," 10,361 "," 10,428 "," 10,622 ","10,602", 48 , 49 , 49 , 48 , 48 ," 832,026,770 "," 836,054,406 "," 848,013,719 "," 892,272,329 ","928,220,545"," 54,265 "," 55,211 "," 55,421 "," 57,043 ","59,081"," 79,597 "," 80,692 "," 81,321 "," 84,002 ","87,551",,,,,,,,,
403031070,Panorama," 4,568 "," 4,521 "," 4,663 "," 4,788 ","4,951", 45 , 45 , 45 , 45 , 44 ," 238,233,385 "," 241,156,828 "," 250,689,938 "," 266,493,156 ","281,515,014"," 42,992 "," 43,645 "," 44,836 "," 46,474 ","47,876"," 52,153 "," 53,341 "," 53,762 "," 55,659 ","56,860",,,,,,,,,
403041071,Aberfoyle Park," 7,240 "," 7,117 "," 7,187 "," 7,216 ","7,335", 45 , 45 , 46 , 46 , 45 ," 392,500,751 "," 392,092,839 "," 398,617,686 "," 411,402,428 ","427,384,792"," 47,493 "," 49,303 "," 49,099 "," 51,227 ","52,453"," 54,213 "," 55,092 "," 55,464 "," 57,013 ","58,267",,,,,,,,,
403041072,Aldinga," 7,601 "," 7,719 "," 7,874 "," 8,130 ","8,349", 42 , 42 , 43 , 43 , 43 ," 359,902,791 "," 366,382,317 "," 380,405,648 "," 405,428,900 ","424,963,320"," 42,094 "," 42,256 "," 43,273 "," 44,617 ","46,276"," 47,349 "," 47,465 "," 48,312 "," 49,868 ","50,900",,,,,,,,,
403041073,Christie Downs," 3,797 "," 3,832 "," 3,904 "," 4,013 ","4,062", 40 , 40 , 40 , 40 , 40 ," 168,987,937 "," 170,271,744 "," 173,565,469 "," 184,114,898 ","192,261,483"," 41,775 "," 42,194 "," 41,289 "," 42,450 ","43,726"," 44,506 "," 44,434 "," 44,458 "," 45,880 ","47,332",,,,,,,,,
