,2015,2016,2017,2018,2019,prelim 2020
locality,Median,Median,Median,Median,Median,Median
MONT ALBERT,637500,727000,699000,740000,708500,990500
MONT ALBERT NORTH,870000,935000,1015000,1102000,887000,1140000
MONTMORENCY,552500,628000,711000,690500,685000,541000
MOONEE PONDS,463500,529500,534000,520000,483500,480000
MOORABBIN,484000,570000,650000,578000,683000,512000
MOOROOLBARK,410500,495000,596500,569000,568500,558500
MOOROOPNA,165000,167000,161500,164000,175000,187500
MORDIALLOC,538500,545000,585000,644000,615000,585000
MORNINGTON,485000,587000,600000,670000,643000,613000
MORWELL,180000,155000,165000,150000,175500,162000
MOUNT CLEAR,215000,227500,263000,270000,275500,375000
MOUNT ELIZA,445000,500000,590000,535000,595000,520000
MOUNT EVELYN,435500,438500,677000,645000,580000,580500
MOUNT MARTHA,510000,550000,631500,570000,650000,375000
MOUNT PLEASANT,264500,255000,266500,275000,245000,275000
MOUNT WAVERLEY,800000,851000,929000,905000,954000,911000
MULGRAVE,600000,614500,665000,750000,731000,838500
MURRUMBEENA,523000,530000,580000,598500,510000,508000
MYRTLEFORD,185000,265000,229000,241500,310000,239000
NAGAMBIE,320000,262500,270000,340000,360000,372000
NARRE WARREN,319000,350000,420000,440000,418000,427500
NEWBOROUGH,156000,161500,135500,165000,203500,230000
NEWCOMB,280000,250000,298000,355000,353500,375000
NEWPORT,620500,652500,730000,663000,730000,712500
NEWTOWN (GREATER GEELONG),368000,420000,420500,396500,562000,382000
NIDDRIE,545000,617500,646000,662500,656500,592500
NOBLE PARK,352000,390000,450000,480000,460000,480000
NOBLE PARK NORTH,381000,392500,477000,502000,515000,461000
NORLANE,215000,225000,268000,290000,300000,315000
NORTH BENDIGO,264500,240000,252500,266000,265000,273000
NORTH GEELONG,277000,215000,313500,321500,396500,413000
NORTH MELBOURNE,526500,550000,560000,540000,477500,488000
NORTHCOTE,500000,517500,508000,565000,585500,525000
NOTTING HILL,400000,327000,338500,320000,396000,320000
NUMURKAH,205000,160000,152500,190000,175000,171500
NUNAWADING,593500,652500,722500,599000,590500,837500
OAK PARK,517000,525000,580000,630000,658000,570000
OAKLEIGH,485000,509500,420000,545000,540000,507500
OAKLEIGH EAST,680000,730000,810000,795000,791500,751000
OAKLEIGH SOUTH,535000,663000,765000,760000,697500,819500
OCEAN GROVE,435000,491500,537500,605000,615000,507500
OFFICER,362000,369000,387000,449000,430000,420000
ORMOND,485000,562000,577000,572500,605000,581500
OSBORNE,500000,530000,561500,647500,640000,545500
PAKENHAM,290000,310000,355500,399000,370000,401000
PARKDALE,548500,617500,650000,689500,672000,859000
PARKVILLE,526000,526000,548000,500000,458000,495000
PASCOE VALE,478000,505000,580000,620000,610000,598000
PASCOE VALE SOUTH,495000,543000,620000,630000,600000,690000
PATTERSON LAKES,475000,470000,551000,625000,587500,496500
PAYNESVILLE,233000,266000,272500,272500,295000,275000
POINT COOK,355000,377500,449500,472000,465000,457500
POINT LONSDALE,475000,610000,557500,675000,595500,535000
PORT FAIRY,331000,395000,590000,447500,522500,955000
PORT MELBOURNE,670000,700000,720000,690000,729000,720500
PORTARLINGTON,340000,356500,405000,460000,494000,543500
PORTLAND,210000,150000,180000,171500,189500,193000
PRAHRAN,530000,595000,577500,530000,590000,502000
PRESTON,450000,455000,450000,500000,490000,488000
QUARRY HILL,282000,225000,226500,266000,283500,287500
REDAN,218000,209500,230000,250000,260000,184000
RESEARCH,578500,630000,605000,652500,672500,NA
RESERVOIR,390000,430000,530500,562000,560500,560000
RICHMOND,552000,552500,582500,597000,578500,645000
RIDDELLS CREEK,326500,380000,386500,400000,490000,420000
RINGWOOD,475000,495000,558000,547000,532000,545000
RINGWOOD EAST,537500,542000,662500,632000,628000,642500
RINGWOOD NORTH,600000,733000,652500,827500,640000,818500
RIPPONLEA,482500,470000,612000,568000,525500,470000
ROMSEY,315500,330500,288000,350000,425000,382000
ROSANNA,620000,646000,745000,745500,685000,790000
ROSEBUD,380000,432000,499000,535000,525000,587500
ROSEBUD SOUTH,453500,475000,520500,587500,520000,506000
ROWVILLE,420000,456500,460000,587500,578000,640500
ROXBURGH PARK,324000,321000,398000,390000,401000,373000
RYE,370000,420000,490000,550000,475000,548500
SAFETY BEACH,312000,453500,668000,655000,665000,676000
SALE,220000,221000,282500,215000,210000,250000
SAN REMO,255000,294000,351000,360000,228000,789500
SANCTUARY LAKES,382000,380500,429000,420000,535000,500000
SANDHURST,440000,467000,587500,515000,592500,600000
SANDRINGHAM,573500,721000,730000,645000,781000,630000
SCORESBY,546500,550000,615000,615000,574500,555000
SEAFORD,360000,411500,463000,506500,495000,545000
SEBASTOPOL,215000,212000,218000,236000,235500,267000
SEDDON,483000,522500,495000,740000,696000,425000
SEYMOUR,179500,190000,163000,195000,195000,238000
SHEPPARTON,215000,210000,225000,195000,252000,264000
SKYE,320000,339000,406500,468000,445000,472500
SOLDIERS HILL,255000,295000,284000,417000,331000,355000
SOMERVILLE,320000,350000,403500,475000,453500,460000
SORRENTO,940000,770000,1100000,1032500,890000,670000
SOUTH KINGSVILLE,413500,574000,630000,762500,643000,720000
SOUTH MELBOURNE,585000,591500,600000,610000,582500,547500
SOUTH MORANG,360000,365000,423000,450000,407000,459500
SOUTH YARRA,610000,650000,600000,580000,580000,586500
SOUTHBANK,579000,600000,570000,575000,582500,532500
SPOTSWOOD,410500,535000,646000,670000,650000,697000
SPRING GULLY,210000,220000,306500,282500,280000,289000
SPRINGVALE,420000,450000,493000,550000,508000,600000
SPRINGVALE SOUTH,398000,412000,454000,525000,470000,444500
ST ALBANS,325000,340000,385000,440000,430000,478500
ST ALBANS PARK,252500,261500,280000,327500,377500,227500
ST KILDA,515000,518500,535000,527000,535000,570000
ST KILDA EAST,548000,535000,575000,565500,590000,593000
ST KILDA WEST,536500,545000,600000,511000,595000,690000
ST LEONARDS,382500,325000,356000,345000,419000,375000
STAWELL,160000,115000,163500,125000,244000,124000
STRATHDALE,252500,239500,270000,260000,273500,373500
STRATHMORE,519500,559000,695000,677500,732000,608000
STRATHTULLOH,389000,389000,359000,409000,420000,NA
STUDFIELD,550000,650000,720000,675000,721000,690000
SUNBURY,320000,358000,375000,415000,395000,420000
SUNSHINE,375000,385000,412500,335000,390000,310000
SUNSHINE NORTH,355000,415000,450000,455500,512000,475000
SUNSHINE WEST,357500,387500,439000,464000,480000,482000
SURREY HILLS,695000,735000,857500,753000,756000,850000
SWAN HILL,189000,230000,222500,212000,245000,295000
SYDENHAM,307500,342500,371000,426000,416000,427500
SYNDAL,855000,720000,870000,812500,880000,1262500
TARNEIT,300000,320500,377500,403000,388000,400000
TATURA,197500,184500,180000,195000,221000,189000
TEMPLESTOWE,732000,720000,765000,847500,740000,790000
TEMPLESTOWE LOWER,700000,699000,880000,799000,765000,870000
THOMASTOWN,314000,340000,438000,449000,457500,481000
