,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes
258,BRIGHTON EAST 2A Granter Street VIC 3187,525,2,1,1,House,-37.9014,145.0188
259,BENTLEIGH EAST 872 Centre Road VIC 3165,750,3,2,4,House,-37.9201,145.0599
260,BENTLEIGH 1B Castles Road VIC 3204,740,3,3,1,House,46.3375,15.2264
261,RICHMOND 121 Lord Street VIC 3121,950,3,2,2,House,-37.8271,145.0064
262,ELWOOD 18 Kingsley St VIC 3184,630,2,1,2,House,-37.8809,144.9855
263,PRAHRAN 6/10 Lalbert Crescent VIC 3181,1100,3,2,2,House,-37.853,144.9929
264,DONCASTER EAST 34 Bellevue Avenue VIC 3109,695,4,2,2,House,-37.7795,145.1638
265,THORNBURY 23 Clyde Street VIC 3071,780,4,1,1,House,-37.7583,145.0051
266,TOORAK 21 Iona Avenue VIC 3142,2500,4,2,2,House,-37.8416,145.0177
267,YARRAVILLE 65 Francis Street VIC 3013,550,2,1,1,House,-37.8249,144.8708
268,RINGWOOD 16 Lilian Parade VIC 3134,540,3,1,1,House,-37.7667,145.25
269,ELTHAM 23 Frank Street VIC 3095,500,4,1,2,House,-37.7333,145.15
270,GLEN WAVERLEY 2 Burramine Road VIC 3150,880,5,2,2,House,-37.8841132,145.1711329
271,RICHMOND 6 Fordham Court VIC 3121,460,2,1,1,House,-37.8271,145.0064
272,WEST MELBOURNE 603 Spencer Street VIC 3003,525,2,1,1,House,-37.8101,144.95
273,MALVERN EAST 748 Warrigal Road VIC 3145,470,3,1,4,House,-37.874,145.0425
274,CAULFIELD SOUTH 26 Lygon Street VIC 3162,450,2,1,3,House,-37.8914,145.0254
275,TOORAK 4 Nareeb Court VIC 3142,1200,5,3,3,House,-37.8416,145.0177
276,BROOKFIELD 76 Manooka Road VIC 3338,400,4,2,2,House,-37.7077,144.5749
277,CROYDON 11 Maggs Street VIC 3136,450,3,1,2,House,-37.7744,145.2756
278,SEAFORD 93 Kirkwood Avenue VIC 3198,550,3,1,3,House,-38.1049,145.1382
279,BENTLEIGH EAST 26a Bonny Street VIC 3165,1300,4,3,2,House,-37.9201,145.0599
280,MORNINGTON 4 Lucerne Avenue VIC 3931,640,3,2,2,House,-38.2167,145.0333
281,LEOPOLD 6 Headland Drive VIC 3224,480,4,2,2,House,46.1367,15.4089
282,WILLIAMSTOWN 10 Gellibrand Street VIC 3016,530,3,1,0,House,-37.857,144.8977
283,PORTSEA 3764 Point Nepean Road VIC 3944,1100,3,2,2,House,-38.3167,144.7167
284,ARMADALE 1 Watson Street VIC 3143,500,2,1,0,House,-37.85,145.0333
285,WODONGA 92 Wilson Street VIC 3690,390,3,1,0,House,-36.0997,146.802
286,HIGHETT 31A Tweed St VIC 3190,740,3,2,2,House,-37.9517,145.0394
287,CAIRNLEA 403/118 Cairnlea Drive VIC 3023,390,2,2,1,House,-37.7541,144.7651
288,BURWOOD 29 Loudon Road VIC 3125,525,2,1,0,House,-37.8498,145.119
289,RICHMOND 94 Coppin Street VIC 3121,650,2,1,1,House,-37.8271,145.0064
290,WINDSOR 53 Duke Street VIC 3181,520,2,1,0,House,-37.853,144.9929
291,BALWYN NORTH 3 Ajana Street VIC 3104,1150,4,2,2,House,-37.7909,145.0939
