,Unnamed: 0,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes,coordinates
551,605,DOCKLANDS S3209/231 Harbour Esplanade VIC 3008,495,1,1,1,Apartment / Unit / Flat,-37.8149,144.9505,"[144.9505, -37.8149]"
552,606,KEW EAST 1/15 Munro St VIC 3102,620,2,2,1,Apartment / Unit / Flat,-37.7976,145.0538,"[145.0538, -37.7976]"
553,607,FOOTSCRAY 1/32 Macpherson Street VIC 3011,385,1,1,1,Apartment / Unit / Flat,-37.7995,144.8963,"[144.8963, -37.7995]"
554,608,GLEN HUNTLY 3/10 Roseberry Grove VIC 3163,360,2,1,2,Apartment / Unit / Flat,-37.8895,145.0581,"[145.0581, -37.8895]"
555,609,FOOTSCRAY 3/32 Macpherson Street VIC 3011,375,1,1,1,Apartment / Unit / Flat,-37.7995,144.8963,"[144.8963, -37.7995]"
556,610,FOOTSCRAY 6/32 Macpherson Street VIC 3011,355,1,1,1,Apartment / Unit / Flat,-37.7995,144.8963,"[144.8963, -37.7995]"
557,611,HAWTHORN 10/45 Church Street VIC 3122,415,2,1,1,Apartment / Unit / Flat,-37.8199,145.0358,"[145.0358, -37.8199]"
558,612,ELSTERNWICK 6/65 Clarence Street VIC 3185,450,2,1,1,Apartment / Unit / Flat,-37.8984,145.0088,"[145.0088, -37.8984]"
559,613,ST KILDA EAST 9/22 Crimea Street VIC 3183,310,1,1,1,Apartment / Unit / Flat,-37.8692,144.9977,"[144.9977, -37.8692]"
560,614,SOUTH YARRA 4/44 Walsh Street VIC 3141,700,2,1,1,Apartment / Unit / Flat,-37.8333,144.9833,"[144.9833, -37.8333]"
561,615,CAULFIELD 6/667 Glenhuntly Road VIC 3162,460,2,1,1,Apartment / Unit / Flat,-37.8914,145.0254,"[145.0254, -37.8914]"
562,616,KEW 25/380 High Street VIC 3101,620,3,2,1,Apartment / Unit / Flat,-37.8064,145.0309,"[145.0309, -37.8064]"
563,617,NORTH MELBOURNE 2/352-362 Victoria Street VIC 3051,330,1,1,0,Apartment / Unit / Flat,-37.8029,144.9482,"[144.9482, -37.8029]"
564,618,PRAHRAN 4/36 Aberdeen Road VIC 3181,400,2,1,1,Apartment / Unit / Flat,-37.853,144.9929,"[144.9929, -37.853]"
565,619,RICHMOND 24/24 Tanner Street VIC 3121,650,2,1,1,Apartment / Unit / Flat,-37.8271,145.0064,"[145.0064, -37.8271]"
566,621,HAWTHORN EAST 11/2 Freeman St VIC 3123,275,1,1,0,Apartment / Unit / Flat,-37.822268,145.0521513,"[145.0521513, -37.822268]"
567,622,GEELONG WEST 6/48 Gordon Avenue VIC 3218,450,2,1,1,Apartment / Unit / Flat,-38.1343,144.3241,"[144.3241, -38.1343]"
568,623,GLEN IRIS Level 1/1475A Malvern Road VIC 3146,450,3,1,1,Apartment / Unit / Flat,-37.8599,145.0549,"[145.0549, -37.8599]"
569,624,PORT MELBOURNE 4/42 Princes Street VIC 3207,800,2,1,1,Apartment / Unit / Flat,-37.8329,144.922,"[144.922, -37.8329]"
570,625,RICHMOND 2/2-6 Docker St VIC 3121,325,1,1,1,Apartment / Unit / Flat,-37.8271,145.0064,"[145.0064, -37.8271]"
571,626,ELWOOD 6/169 Ormond Road VIC 3184,330,1,1,0,Apartment / Unit / Flat,-37.8809,144.9855,"[144.9855, -37.8809]"
572,627,SURREY HILLS 2/969 Riversdale Road VIC 3127,460,2,1,1,Apartment / Unit / Flat,-37.8128,145.1043,"[145.1043, -37.8128]"
573,628,FITZROY NORTH 1S/378-390 St Georges Road VIC 3068,460,1,1,1,Apartment / Unit / Flat,-37.7865,144.9897,"[144.9897, -37.7865]"
574,629,FITZROY NORTH 1B/378-390 St Georges Road VIC 3068,470,1,1,1,Apartment / Unit / Flat,-37.7865,144.9897,"[144.9897, -37.7865]"
575,631,RICHMOND 402/229 Bridge Road VIC 3121,450,2,1,1,Apartment / Unit / Flat,-37.8271,145.0064,"[145.0064, -37.8271]"
576,632,KEW G09/59 Earl Street VIC 3101,420,2,1,1,Apartment / Unit / Flat,-37.8064,145.0309,"[145.0309, -37.8064]"
577,633,CAULFIELD NORTH 6/11 Kooyong Road VIC 3161,395,1,1,1,Apartment / Unit / Flat,-37.8720234,145.0177277,"[145.0177277, -37.8720234]"
578,634,SURREY HILLS 1/5 Montrose Street VIC 3127,620,2,2,2,Apartment / Unit / Flat,-37.8128,145.1043,"[145.1043, -37.8128]"
579,635,ST KILDA EAST 11/30 Westbury Street VIC 3183,320,1,1,1,Apartment / Unit / Flat,-37.8692,144.9977,"[144.9977, -37.8692]"
580,636,HAWTHORN 5/45 Evansdale Road VIC 3122,485,2,1,1,Apartment / Unit / Flat,-37.8199,145.0358,"[145.0358, -37.8199]"
581,637,CAULFIELD NORTH 2/470 Glen Eira Road VIC 3161,570,3,1,2,Apartment / Unit / Flat,-37.880679,145.0284873,"[145.0284873, -37.880679]"
582,638,CARNEGIE R/1134 Dandenong Road VIC 3163,200,1,1,0,Apartment / Unit / Flat,-37.8895,145.0581,"[145.0581, -37.8895]"
583,639,BRIGHTON 24/18 Cochrane Street VIC 3186,410,2,1,1,Apartment / Unit / Flat,-37.9057,145.0067,"[145.0067, -37.9057]"
584,640,CARNEGIE 106/2 Morton Avenue VIC 3163,495,2,2,1,Apartment / Unit / Flat,-37.8895,145.0581,"[145.0581, -37.8895]"
585,641,TOORAK 5/693 Malvern Rd VIC 3142,540,2,1,1,Apartment / Unit / Flat,-37.8416,145.0177,"[145.0177, -37.8416]"
