address,price,beds,baths,parking,propertyTypeFormatted
MOUNT WAVERLEY 2 Sunnyside Road VIC 3149,450,3,1,0,House
BRIGHTON 478 New Street VIC 3186,2200,5,3,2,House
GROVEDALE 11 Camira Court VIC 3216,400,3,1,1,House
MONT ALBERT 52 Victoria Crescent VIC 3127,1500,4,3,2,House
KEW EAST 46 Munro Street VIC 3102,540,3,2,1,House
KEW 1 Molesworth Street VIC 3101,3500,6,6,8,House
BEAUMARIS 28b Hornby Street VIC 3193,1100,5,2,4,House
PRAHRAN 49 Highbury Grove VIC 3181,1100,3,2,1,House
MALVERN EAST 126 Darling Road VIC 3145,600,2,1,1,House
ROCKBANK 18 Amaya Way VIC 3335,385,3,2,0,House
BEAUMARIS 4 Waratah Avenue VIC 3193,600,3,1,3,House
GLEN IRIS 24 Gardiner Parade VIC 3146,1550,5,2,2,House
ST KILDA EAST 25 Holroyd Avenue VIC 3183,1650,5,2,4,House
HAMPTON 8 Gillies St VIC 3188,780,3,1,2,House
CLIFTON HILL 42 O'Grady Street VIC 3068,975,3,1,0,House
FITZROY NORTH 30 Woodside Street VIC 3068,750,2,1,0,House
SANDRINGHAM 34 Victoria Street VIC 3191,1290,3,2,2,House
DEANSIDE 19 Amreli St VIC 3336,440,4,2,2,House
ABBOTSFORD 270 Langridge Street VIC 3067,470,1,1,0,House
WINDSOR 1 David Lane VIC 3181,1400,4,2,1,House
HAWTHORN EAST 2 Airedale Avenue VIC 3123,1800,4,2,4,House
BRIGHTON 16 Nepean Highway VIC 3186,910,5,5,4,House
MALVERN EAST 416/803 Dandenong Road VIC 3145,500,2,2,1,House
BRIGHTON 8 Champion Street VIC 3186,2100,5,3,4,House
WATSONIA 48 Frensham Road VIC 3087,450,3,1,2,House
NORTHCOTE 334A Separation Street VIC 3070,680,3,2,2,House
NORTHCOTE 27 Hawthorn Road VIC 3070,1050,4,1,0,House
MALVERN EAST 5 James Parade VIC 3145,620,3,1,2,House
DANDENONG NORTH 1559 Heatherton Road VIC 3175,380,3,1,2,House
ALBERT PARK 74 Barrett Street VIC 3206,1250,3,2,1,House
NORTH MELBOURNE 207/720 Queensberry Street VIC 3051,565,2,1,1,House
KEW 9 Derby Street VIC 3101,1050,3,2,2,House
POINT COOK 25 Living Cres VIC 3030,20,4,2,2,House
BEAUMARIS 11-13 Tibbles Street VIC 3193,895,4,2,2,House
FITZROY NORTH 108 Best Street VIC 3068,1300,4,3,2,House
WINDSOR 24 Union Street VIC 3181,800,3,1,0,House
BRIGHTON 2/361 St Kilda St VIC 3186,1100,3,2,2,House
OAKLEIGH EAST 1 Shafton Street VIC 3166,440,3,1,2,House
BROOKFIELD 34 Faircroft Drive VIC 3338,410,4,2,2,House
OAKLEIGH SOUTH 10 Peter Street VIC 3167,490,3,1,2,House
CLAYTON 1/2 Mary Street VIC 3168,360,2,1,1,House
GLEN IRIS 54 Liston Street VIC 3146,595,4,2,4,House
BRIGHTON 42 Dendy Street VIC 3186,2600,4,3,2,House
MOUNT WAVERLEY 20 Heany Street VIC 3149,480,3,1,4,House
CLAYTON 14 Cantala Street VIC 3168,390,3,1,4,House
