,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes,coordinates,coord,school,train_station,fitness_gym,hospital,shopping_center,park
125,125,125,130,NEWCOMB 5/111 Bellarine Hwy VIC 3219,375,2,1,1,House,-38.1662,144.3943,"[144.3943, -38.1662]","[144.3943, -38.1662]",11301.3,51252.3,5304.1,2767.2,740.6,480.7
126,126,126,131,BAYSWATER 2/62 Scoresby Road VIC 3153,520,4,2,2,House,-37.85,145.2667,"[145.2667, -37.85]","[145.2667, -37.85]",2217.9,1240.0,895.4,935.3,1561.9,1827.4
127,127,127,132,WHEELERS HILL 48 Craig Hill Drive VIC 3150,650,4,2,2,House,-37.8891,145.174,"[145.174, -37.8891]","[145.174, -37.8891]",3429.9,2201.1,3820.0,1326.2,1813.9,1265.9
128,128,128,133,BENTLEIGH EAST 19 Valkstone Street VIC 3165,780,3,2,2,House,-37.9201,145.0599,"[145.0599, -37.9201]","[145.0599, -37.9201]",4386.1,2157.3,1797.0,1730.3,4566.4,1317.7
129,129,129,134,SOUTH YARRA 9/4 Davidson Street VIC 3141,525,2,1,2,House,-37.8333,144.9833,"[144.9833, -37.8333]","[144.9833, -37.8333]",8922.0,1444.3,2258.5,1686.2,1760.3,2438.6
130,130,130,135,PORT MELBOURNE 118 Clark Street VIC 3207,800,3,1,0,House,-37.8329,144.922,"[144.922, -37.8329]","[144.922, -37.8329]",9149.8,4973.4,6110.1,5110.1,3509.1,811.2
131,131,131,136,BRUNSWICK 52 Hope Street VIC 3056,850,4,1,2,House,-37.7667,144.9667,"[144.9667, -37.7667]","[144.9667, -37.7667]",1510.0,838.6,895.8,2281.8,1614.7,997.7
132,132,132,137,BRIGHTON 1/20 Kent Avenue VIC 3186,3500,5,4,3,House,-37.9057,145.0067,"[145.0067, -37.9057]","[145.0067, -37.9057]",2985.3,635.1,670.0,1203.5,5551.3,884.0
133,133,133,138,GLEN IRIS 55 Great Valley Road VIC 3146,685,2,1,2,House,-37.8599,145.0549,"[145.0549, -37.8599]","[145.0549, -37.8599]",5304.8,455.4,3824.0,1122.9,2608.3,1358.7
134,134,134,140,MOUNT DUNEED 22 Whites Rd VIC 3217,500,4,2,2,House,-38.2583,144.3083,"[144.3083, -38.2583]","[144.3083, -38.2583]",7492.8,60698.3,8529.9,15185.4,13448.7,2466.8
