,price,suburb,beds,baths,parking,latitudes,longitudes,school,train_station,fitness_gym,hospital,shopping_center,park,2025income,2025house_price,Unnamed: 0,erp_2025,net_internal_migration_2024_25,net_overseas_migration_2024_25,natural_increase_2024_25
86,435,CARLTON,1,1,1,-37.8004,144.9684,4644.8,1428.8,1281.2,656.2,1464.8,1962.9,13260.600000000091,168300.0,143,32720.80000000028,-81.5,-5459.300000000047,-74.59999999999854
87,360,CARLTON,2,1,0,-37.8004,144.9684,4644.8,1428.8,1281.2,656.2,1464.8,1962.9,13260.600000000091,168300.0,143,32720.80000000028,-81.5,-5459.300000000047,-74.59999999999854
88,1100,CARLTON,4,1,4,-37.8004,144.9684,4644.8,1428.8,1281.2,656.2,1464.8,1962.9,13260.600000000091,168300.0,143,32720.80000000028,-81.5,-5459.300000000047,-74.59999999999854
89,340,ST KILDA EAST,1,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
90,340,ST KILDA EAST,1,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
91,550,ST KILDA EAST,3,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
92,550,ST KILDA EAST,3,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
93,495,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
94,495,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
95,250,ST KILDA EAST,1,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
96,250,ST KILDA EAST,1,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
97,290,ST KILDA EAST,1,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
98,290,ST KILDA EAST,1,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
99,350,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
100,350,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
101,310,ST KILDA EAST,1,1,1,-37.8633,144.9802,10796.5,1744.7,3148.3,1528.8,740.9,1247.5,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
102,310,ST KILDA EAST,1,1,1,-37.8633,144.9802,10796.5,1744.7,3148.3,1528.8,740.9,1247.5,14815.29999999993,623900.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
103,345,ST KILDA EAST,2,1,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14815.29999999993,654300.0,41,20202.300000000047,-850.2999999999884,-902.5,90.59999999999854
