Unnamed: 0.1,Unnamed: 0,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes,coordinates,train_station
63,70,BALACLAVA 4/360 Carlisle Street VIC 3183,650,2,1,1,Apartment / Unit / Flat,-37.8692,144.9977,"[144.9977, -37.8692]",0.0
64,71,MALVERN EAST 508/839 Dandenong Road VIC 3145,360,1,1,1,Apartment / Unit / Flat,-37.874,145.0425,"[145.0425, -37.874]",0.0
65,73,FITZROY NORTH 22L/378-390 St Georges Road VIC 3068,570,2,2,1,Apartment / Unit / Flat,-37.7865,144.9897,"[144.9897, -37.7865]",0.0
66,74,MENTONE G01/97 Beach Road VIC 3194,750,1,1,2,Apartment / Unit / Flat,-37.9833,145.0667,"[145.0667, -37.9833]",0.0
67,76,GLEN IRIS 2/49 Osborne Avenue VIC 3146,770,2,2,2,Apartment / Unit / Flat,-37.8599,145.0549,"[145.0549, -37.8599]",0.0
68,77,ABBOTSFORD 509A/1 Acacia Place VIC 3067,410,1,1,1,Apartment / Unit / Flat,-37.8046,144.9998,"[144.9998, -37.8046]",0.0
69,78,BRUNSWICK 208/34 Union Street VIC 3056,490,2,1,1,Apartment / Unit / Flat,-37.7667,144.9667,"[144.9667, -37.7667]",0.0
70,79,GLEN IRIS 12/70 Edgar Street North VIC 3146,295,1,1,1,Apartment / Unit / Flat,-37.8599,145.0549,"[145.0549, -37.8599]",0.0
71,80,SOUTH YARRA 113/2 Hobson Street VIC 3141,410,1,1,1,Apartment / Unit / Flat,-37.8333,144.9833,"[144.9833, -37.8333]",0.0
72,81,SOUTH YARRA 130/471 Malvern Road VIC 3141,400,1,1,1,Apartment / Unit / Flat,-37.8333,144.9833,"[144.9833, -37.8333]",0.0
73,82,FOOTSCRAY 1303/8 Joseph Road VIC 3011,490,2,2,1,Apartment / Unit / Flat,-37.7995,144.8963,"[144.8963, -37.7995]",0.0
74,83,EAST MELBOURNE 23/2 Wellington Crescent VIC 3002,750,2,2,2,Apartment / Unit / Flat,-37.8167,144.9879,"[144.9879, -37.8167]",0.0
75,84,COLLINGWOOD 1304e/9 Robert Street VIC 3066,450,1,1,1,Apartment / Unit / Flat,-37.8,144.9833,"[144.9833, -37.8]",0.0
76,86,SOUTH YARRA 516/77 River Street VIC 3141,370,1,1,1,Apartment / Unit / Flat,-37.8333,144.9833,"[144.9833, -37.8333]",0.0
77,87,MALVERN EAST 2/997 Dandenong Road VIC 3145,400,2,1,1,Apartment / Unit / Flat,-37.874,145.0425,"[145.0425, -37.874]",0.0
78,88,RICHMOND 2/2 Smith Street VIC 3121,300,1,1,1,Apartment / Unit / Flat,-37.8271,145.0064,"[145.0064, -37.8271]",0.0
79,89,SOUTH YARRA 9/63 Millswyn Street VIC 3141,495,2,1,1,Apartment / Unit / Flat,-37.8333,144.9833,"[144.9833, -37.8333]",0.0
