,Facility ID,Facility Name,Street Name,Suburb/Town,Pcode,Latitude,Longitude,Field/Surface Type,FullAddress,MelwaysVicRoadsRef
74,MOONEE9394,Queens Park Swimming Pool,Corner The Strand & Pascoe Vale,MOONEE PONDS,3039.0,-37.761978,144.925204,"25m Pool - Outdoor, 30m Pool - Outdoor, Toddlers Pool"," Corner The Strand & Pascoe Vale Road, MOONEE PONDS 3039",28 j6
75,MOORAB9414,Ballan Outdoor Swimming Pool,Mill Park,BALLAN,3342.0,-37.598149,144.229999,"30m Pool - Outdoor, Toddlers Pool","1 Mill Park Street, BALLAN 3342",585 R9
76,MORELA13009,Coburg Olympic Swimming Pool,Murray,COBURG,3058.0,-37.735005,144.974475,"50m Pool - Outdoor, Childrens Learning Pool, Toddlers Pool"," Murray Road, COBURG 3058",17 K10
77,MOUNTA12667,Castlemaine Outdoor Swimming Pool,Lake Augusta,CASTLEMAINE,3450.0,-37.054153,144.213634,"50m Pool - Outdoor, Toddlers Pool"," Lake Augusta Drive, CASTLEMAINE 3450",628 F4
78,MOUNTA12669,Chewton Swimming Pool,Pyrnees,CHEWTON,3451.0,-37.081738,144.254175,"25m Pool - Outdoor, Toddlers Pool"," Pyrnees Highway, CHEWTON 3451",59 F3
79,MOUNTA12675,Harcourt Swimming Pool,Bridge,HARCOURT,3453.0,-36.994474,144.263022,"25m Pool - Outdoor, Childrens Learning Pool, Toddlers Pool"," Bridge Street, HARCOURT 3453",627 T1
80,MOUNTA12679,Maldon Swimming Pool,Hospital,MALDON,3463.0,-36.99453,144.064514,"25m Pool - Outdoor, Toddlers Pool"," Hospital Street, MALDON 3463",630 C8
81,MOUNTA12684,Newstead and District Swimming Pool,Panmure,NEWSTEAD,3462.0,-37.106391,144.060058,"25m Pool - Indoor, Toddlers Pool","6 Panmure Street, NEWSTEAD 3462",627 R9
82,MOYNES11315,Hawkesdale Swimming Pool,Penshurst-Warrnambool,HAWKESDALE,3287.0,-38.104612,142.321561,," Penshurst-Warrnambool Road, HAWKESDALE 3287",510 C3
83,MOYNES11326,Mortlake Swimming Pool,Jamieson,MORTLAKE,3272.0,-38.080615,142.809357,," Jamieson Avenue, MORTLAKE 3272",509 T4
84,MURRIN11000,Alexandra Swimming Pool,Perkins,ALEXANDRA,3714.0,-37.188914,145.713059,," Perkins Street, ALEXANDRA 3714",680 F3
85,MURRIN11008,Eildon Swimming Pool,High,EILDON,3713.0,-37.232993,145.907981,," High Street, EILDON 3713",681 O3
86,MURRIN11020,Marysville Swimming Pool,Falls,MARYSVILLE,3779.0,-37.51132,145.748758,," Falls Road, MARYSVILLE 3779",680 H10
87,MURRIN11030,Yea Swimming Pool,High,YEA,3717.0,-37.212488,145.42224,," High Street, YEA 3717",681 R9
88,NORTHE12630,Halls Gap Swimming Pool,Grampians,HALLS GAP,3381.0,-37.139595,142.518042,25m Pool - Outdoor," Grampians Road, HALLS GAP 3381",56 A4
89,NORTHE12635,Marnoo Swimming Pool,Donald-Stawell,MARNOO,3387.0,-36.676233,142.869874,25m Pool - Outdoor," Donald-Stawell Road, MARNOO 3387",549 S11
90,NORTHE12643,St Arnaud Swimming Pool,Grant,ST ARNAUD,3478.0,-36.613692,143.259629,"50m Pool - Outdoor, Toddlers Pool"," Grant Street, ST ARNAUD 3478",551 S9
91,PYRENE11077,Avoca Swimming Pool,Pyrnees,AVOCA,3467.0,-37.091083,143.475855,"25m Pool - Outdoor, Toddlers Pool"," Pyrnees Highway, AVOCA 3467",556 D4
92,PYRENE11081,Beaufort Swimming Pool,Leichardt,BEAUFORT,3373.0,-37.432352,143.385745,50m Pool - Outdoor,"13 Leichardt Street, BEAUFORT 3373",556 H10
93,GREATE12126,Merrigum Swimming Pool,Morrissey,MERRIGUM,3620.0,-36.372121,145.130585,," Morrissey Street, MERRIGUM 3620",32 D7
94,GREATE12133,Mooroopna War Memorial Swimming Pool,Ann,MOOROOPNA,3629.0,-36.390984,145.359199,"30m Pool - Outdoor, Toddlers Pool"," Ann Street, MOOROOPNA 3629",672 G11
95,GREATE12138,Murchison Swimming Pool,Stevenson,MURCHISON,3610.0,-36.617441,145.219765,," Stevenson Street, MURCHISON 3610",671 T5
96,GREATE12157,Tatura Swimming Complex,Hastie,TATURA,3616.0,-36.444266,145.231964,"30m Pool - Outdoor, Toddlers Pool"," Hastie Street, TATURA 3616",671 N5
97,SOUTHG12420,Mirboo North Swimming Pool,Baths,MIRBOO NORTH,3871.0,-38.39637,146.154977,"25m Pool - Outdoor, Childrens Learning Pool, Toddlers Pool"," Baths Road, MIRBOO NORTH 3871",710 H2
