,suburb,erp_2016,erp_2017,erp_2018,erp_2019,erp_2020,natural_increase_2016_17,net_internal_migration_2016_17,net_overseas_migration_2016_17,natural_increase_2017_18,net_internal_migration_2017_18,net_overseas_migration_2017_18,natural_increase_2018_19,net_internal_migration_2018_19,net_overseas_migration_2018_19,natural_increase_2019_20,net_internal_migration_2019_20,net_overseas_migration_2019_20,natural_increase_2020_21,net_internal_migration_2020_21,net_overseas_migration_2020_21
440,SHEPPARTON REGION - WEST,10279,10378,10388,10429,10546,20.0,30.0,49.0,48.0,-88.0,50.0,36.0,-45.0,50.0,29.0,53.0,35.0,31.0,17.0,-20.0
441,SWAN HILL,11079,11104,11103,11088,11048,71.0,-96.0,50.0,80.0,-126.0,45.0,46.0,-105.0,44.0,60.0,-131.0,31.0,61.0,-193.0,-17.0
442,SWAN HILL REGION,6442,6387,6288,6237,6183,22.0,-101.0,24.0,18.0,-141.0,24.0,14.0,-90.0,25.0,13.0,-86.0,19.0,25.0,-68.0,-10.0
443,ECHUCA,14888,14931,14933,14974,15017,-3.0,4.0,42.0,2.0,-37.0,37.0,-19.0,24.0,36.0,-27.0,43.0,27.0,13.0,62.0,-7.0
444,KYABRAM,11034,11056,11028,11063,11095,-4.0,-3.0,29.0,-26.0,-31.0,29.0,24.0,-19.0,30.0,1.0,9.0,22.0,-2.0,-67.0,-4.0
445,ROCHESTER,3895,3902,3906,3886,3833,5.0,-1.0,3.0,-7.0,9.0,2.0,-23.0,1.0,2.0,-15.0,-40.0,2.0,-19.0,34.0,0.0
446,RUSHWORTH,4076,4051,4054,4043,4057,-6.0,-23.0,4.0,-4.0,3.0,4.0,-2.0,-13.0,4.0,-24.0,36.0,2.0,4.0,29.0,0.0
447,COBRAM,6420,6435,6422,6395,6425,5.0,-39.0,49.0,18.0,-81.0,50.0,0.0,-77.0,50.0,-7.0,2.0,35.0,-22.0,-29.0,-9.0
448,MOIRA,2623,2636,2665,2676,2726,8.0,-9.0,14.0,18.0,-2.0,13.0,17.0,-19.0,13.0,11.0,30.0,9.0,11.0,27.0,-3.0
449,NUMURKAH,12422,12416,12420,12398,12358,19.0,-57.0,32.0,40.0,-69.0,33.0,34.0,-88.0,32.0,31.0,-95.0,24.0,1.0,-75.0,-6.0
450,GLENELG (VIC.),8778,8731,8732,8714,8681,-5.0,-58.0,16.0,-6.0,-8.0,15.0,-25.0,-8.0,15.0,-1.0,-43.0,11.0,-5.0,28.0,-3.0
451,YARRAWONGA,8021,8165,8290,8451,8503,-66.0,193.0,17.0,-56.0,163.0,18.0,-52.0,194.0,19.0,-34.0,74.0,12.0,-55.0,153.0,-4.0
452,MOOROOPNA,8033,8043,8087,8143,8132,2.0,-36.0,44.0,34.0,-34.0,44.0,28.0,-15.0,43.0,55.0,-100.0,34.0,14.0,-69.0,-19.0
453,SHEPPARTON - NORTH,19007,19229,19382,19539,19556,113.0,-100.0,209.0,121.0,-178.0,210.0,56.0,-108.0,209.0,67.0,-199.0,149.0,26.0,-150.0,-81.0
454,SHEPPARTON - SOUTH,23668,23899,24164,24423,24818,188.0,-182.0,225.0,203.0,-165.0,227.0,174.0,-140.0,225.0,162.0,72.0,161.0,148.0,-15.0,-87.0
455,HAMILTON (VIC.),10081,10088,10119,10123,10177,-16.0,-16.0,39.0,15.0,-22.0,38.0,-4.0,-30.0,38.0,-18.0,44.0,28.0,-10.0,-75.0,-7.0
456,PORTLAND,10943,10933,10899,10927,10906,1.0,-30.0,19.0,-18.0,-35.0,19.0,22.0,-14.0,20.0,-16.0,-19.0,14.0,-14.0,-57.0,-3.0
457,SOUTHERN GRAMPIANS,6143,6111,6093,6048,6021,13.0,-63.0,18.0,18.0,-54.0,18.0,8.0,-77.0,24.0,-12.0,-28.0,13.0,-15.0,23.0,-3.0
458,COLAC,12450,12498,12546,12571,12582,-9.0,13.0,44.0,35.0,-21.0,34.0,9.0,-23.0,39.0,-22.0,7.0,26.0,-16.0,-86.0,-6.0
459,CAMPERDOWN,3526,3532,3537,3504,3451,-18.0,19.0,5.0,-8.0,8.0,5.0,-34.0,-5.0,6.0,-16.0,-41.0,4.0,-18.0,-13.0,-1.0
460,WARRNAMBOOL - NORTH,21442,21693,21976,22229,22487,104.0,-9.0,156.0,84.0,41.0,158.0,91.0,1.0,161.0,69.0,77.0,112.0,103.0,24.0,-28.0
461,WARRNAMBOOL - SOUTH,13173,13203,13241,13293,13391,-13.0,-103.0,146.0,-18.0,-91.0,147.0,-17.0,-80.0,149.0,0.0,-6.0,104.0,-25.0,31.0,-26.0
