,Facility ID,Facility Name,Street Name,Suburb/Town,Pcode,Latitude,Longitude,Field/Surface Type,FullAddress,MelwaysVicRoadsRef
193,MAROON11035,Personal Fitness Centre Bayswater,Bayswater,BAYSWATER,3153.0,-37.835821,145.271935,,"379 Bayswater Road, BAYSWATER 3153",64 G2
194,MAROON11015,Eclipse Gymnastics Ringwood,Maroondah,RINGWOOD,3134.0,-37.799715,145.251253,,"2/481-493 Maroondah Highway, RINGWOOD 3134",50 C4
195,MELBOU10991,Corporate Fitness Club,Flinders,MELBOURNE,3000.0,-37.817507,144.963621,,"321 Flinders Lane, MELBOURNE 3000",
196,MELBOU10992,Equilibrium Health & Fitness,Errol,NORTH MELBOURNE,,-37.804412,144.949088,,"23 Errol Steet, NORTH MELBOURNE ",
197,MELBOU5529,Fitness First Melbourne CBD Bourke St,Bourke,MELBOURNE,3000.0,-37.814466,144.96356,,"341-345 Bourke Street, MELBOURNE 3000",
198,MELBOU10998,Fitness First Melbourne Central,Latrobe,MELBOURNE,,-37.810917,144.962776,,"211 Latrobe Street, MELBOURNE ",
199,MELBOU10999,Fitness First QV Platinum,Lonsdale,MELBOURNE,,-37.809845,144.966508,," Lonsdale Street, MELBOURNE ",
200,MELBOU11003,Gensis Fitness,Lonsdale,MELBOURNE,,,,,"50 Lonsdale Street, MELBOURNE ",
201,MELBOU11005,Jetts Fitness ,Collins,DOCKLANDS,3008.0,,,,"750 Collins Street, DOCKLANDS 3008",
202,MELBOU11010,Ladyworks Fitness Club,Little Latrobe,MELBOURNE,,,,,"23 Little Latrobe Street, MELBOURNE ",
203,MELBOU11011,Lifestyle Fitness Centre ,Burke ,MELBOURNE,,,,,"500 Burke  Street, MELBOURNE ",
204,MELBOU11012,Lifestyle Fitness Centre ,Russell,MELBOURNE ,3000.0,,,,"276 Russell Street, MELBOURNE  3000",
205,MELBOU11018,Metrobody Health & Fitness,Summerset,MELBOURNE,,,,,"29 Summerset Place, MELBOURNE ",
206,MELBOU11025,RMIT Union Fitness Centre,Swanston,MELBOURNE,,,,," Swanston Street, MELBOURNE ",
207,MELBOU11029,TKO Fitness,Hawke,WEST MELBOURNE,,-37.807537,144.946833,,"99 Hawke Street, WEST MELBOURNE ",
